"ITEM","TAG","IMAGE","SOUND","MARKDOWN","CONCEPT","X","Y"
"내용물","kr","","","1","1","",""
"inhoud","nl","","","1","1","",""
"목요일","kr","","","1","2","",""
"donderdag","nl","","","1","2","",""
"화요일","kr","","","1","3","",""
"dinsdag","nl","","","1","3","",""
"미용실","kr","","","1","4","",""
"schoonheidssalon","nl","","","1","4","",""
"화장실","kr","","","1","5","",""
"badkamer","nl","","","1","5","",""
"나머지","kr","","","2","6","",""
"rest","nl","","","2","6","",""
"기후","kr","","","2","7","",""
"klimaat","nl","","","2","7","",""
"불","kr","","","2","8","",""
"vuur","nl","","","2","8","",""
"기도","kr","","","2","9","",""
"gebed","nl","","","2","9","",""
"에너지","kr","","","2","10","",""
"energie","nl","","","2","10","",""
"사정","kr","","","3","11","",""
"omstandigheden","nl","","","3","11","",""
"사랑","kr","","","3","12","",""
"liefde","nl","","","3","12","",""
"사장","kr","","","3","13","",""
"baas","nl","","","3","13","",""
"시장","kr","","","3","14","",""
"burgemeester","nl","","","3","14","",""
"사탕","kr","","","3","15","",""
"suiker","nl","","","3","15","",""
"이미지","kr","","","4","16","",""
"afbeelding","nl","","","4","16","",""
"물","kr","","","4","17","",""
"water","nl","","","4","17","",""
"기차","kr","","","4","18","",""
"trein","nl","","","4","18","",""
"꿀","kr","","","4","19","",""
"honing","nl","","","4","19","",""
"기회","kr","","","4","20","",""
"kans","nl","","","4","20","",""
"문","kr","","","5","21","",""
"deur","nl","","","5","21","",""
"운","kr","","","5","22","",""
"geluk","nl","","","5","22","",""
"면","kr","","","5","23","",""
"katoen","nl","","","5","23","",""
"눈","kr","","","5","24","",""
"ogen","nl","","","5","24","",""
"분","kr","","","5","25","",""
"minuut","nl","","","5","25","",""
"메시지","kr","","","6","26","",""
"bericht","nl","","","6","26","",""
"어머니","kr","","","6","27","",""
"moeder","nl","","","6","27","",""
"기대","kr","","","6","28","",""
"verwachting","nl","","","6","28","",""
"줄","kr","","","6","29","",""
"manier","nl","","","6","29","",""
"풀","kr","","","6","30","",""
"gras","nl","","","6","30","",""
